PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
1lrDr,7R/8/p7/1p1p4/3Pp3/P3P1p1/1P1KNrk1/8 w - - 10 60,h8g8 g2f1 g8g3 f2e2,1812,74,93,854,crushing endgame master pin short,https://lichess.org/jdVpBY9A#119,
1lrEb,5nk1/pb2rp1p/1p4pB/4qP2/2PQ4/8/PPB3PP/5RK1 w - - 2 29,d4d8 e5c5 g1h1 e7e2,2442,90,89,677,advantage clearance middlegame short,https://lichess.org/DVC8yVkK#57,
1lrNP,6k1/p4pp1/7p/1r6/8/2P1R3/P1P2PPP/6K1 w - - 2 22,a2a4 b5b1 e3e1 b1e1,576,100,63,721,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/W6Nwy7Ew#43,
1lrNx,7k/5r2/p3p1bP/2P1q1P1/Q7/3R4/1P6/K7 b - - 0 51,g6d3 a4e8 f7f8 e8f8 h8h7 f8f7,1474,75,92,1219,crushing endgame exposedKing fork long,https://lichess.org/pTxIYS8N/black#102,
1lrPH,R7/4k3/1b4bB/3pP1Np/1p1P4/2r4P/4KP2/8 w - - 6 34,a8a6 g6d3 e2d2 d3a6,1613,75,94,1846,crushing endgame fork short,https://lichess.org/Cvq0FDsp#67,
1lrR0,r6k/pp4q1/8/5Q1p/8/2PB4/P5PP/7K b - - 6 32,a8f8 f5h5 h8g8 d3c4,1252,75,90,387,crushing endgame master short,https://lichess.org/4uNRwPzQ/black#64,
1lrU7,8/2pr3P/6K1/8/1k6/p2P4/7R/8 b - - 0 41,d7d8 h7h8q d8h8 h2h8 a3a2 h8a8,1878,94,87,32,advancedPawn crushing endgame long master promotion,https://lichess.org/ZjvAfXYX/black#82,
1lrcP,2br2k1/2q1bpp1/p3pn1p/4N2P/3BB3/P2QP3/5PP1/1R4K1 w - - 1 25,e4f3 c7e5 d4e5 d8d3,1575,74,94,2425,advantage middlegame short,https://lichess.org/jyUiR6YI#49,
1lre6,2rqr1k1/4bpp1/Q4n1p/n2pN3/2pP3B/2P4P/PPbNBPP1/R3R1K1 w - - 2 19,e2h5 f6h5 h4e7 e8e7,1487,75,93,2166,advantage hangingPiece middlegame short,https://lichess.org/qDOAESQk#37,Sicilian_Defense Sicilian_Defense_Old_Sicilian
1lrew,r4rk1/pbp2ppp/1p2pqn1/2P5/3P3N/4B1PP/PP1Q1P2/2RR2K1 w - - 4 20,e3g5 g6h4 g3h4 f6f3 c5c6 b7c6 c1c6 f3c6,1633,73,92,2231,advantage middlegame veryLong,https://lichess.org/jkcnUP4K#39,
1lrf6,5rk1/b2q2pp/2p5/N5Bn/P2p1P2/6P1/2Q4P/1R5K w - - 0 30,b1b7 d7d5 c2g2 d5a5,1620,77,96,22393,advantage fork middlegame short,https://lichess.org/kgb49AiU#59,
1lrhZ,r1b1k1nr/2pp1ppp/1p6/p7/3BP3/P2P4/q1P2PPP/1R1Q1RK1 b kq - 0 13,a2a3 d4g7,1156,76,91,1356,advantage middlegame oneMove,https://lichess.org/l3SAmAZZ/black#26,Ruy_Lopez Ruy_Lopez_Bird_Variation
1lrmP,4bqk1/1pp2p1p/p2p2p1/2bP2Q1/2P5/7P/P4PP1/4R1K1 b - - 1 24,b7b5 g5d8 e8c6 d8c7 c6d5 c4d5,2300,229,87,11,endgame equality long,https://lichess.org/4g75y8Oa/black#48,
1lrnx,r1k2r2/2p1P1pp/pn1b4/1p2nQB1/3qB3/2N5/PP4PP/R4R1K b - - 0 22,f8f5 e7e8q,1621,83,86,1404,advancedPawn mate mateIn1 middlegame oneMove promotion,https://lichess.org/gjKVkiP3/black#44,
1lrrf,r4k1r/1pq2pp1/p2bp3/2p4p/6n1/N1P4P/PP1PQPP1/R1B2RK1 w - - 2 16,h3g4 d6h2 g1h1 h5g4,1061,77,88,448,crushing intermezzo kingsideAttack middlegame short,https://lichess.org/lYCLbTbD#31,Sicilian_Defense Sicilian_Defense_Canal_Attack
1lrvw,rnbk3r/ppp2Bpp/5q2/2b1N3/4p3/1P6/PBPP1PPP/R2QK2R w KQ - 1 11,f7c4 f6f2,1116,107,88,50,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/3FLjj8BB#21,Scandinavian_Defense Scandinavian_Defense_Modern_Variation
1lrzb,8/8/2K1pB2/4P2R/3q1kp1/8/8/8 b - - 0 70,g4g3 h5h4 f4f3 h4d4,1271,113,85,37,crushing endgame short skewer,https://lichess.org/kgzChIM9/black#140,
1ls1Q,1r3rk1/p5n1/bp1qp1P1/3p4/P2P3p/1PP3PB/1B1Q3K/R3R3 w - - 0 27,d2h6 d6g3 h2h1 g3h3,1541,141,87,16,crushing deflection middlegame short,https://lichess.org/985hXFRD#53,
1ls5E,r3k3/ppp2p1r/2b1p1p1/3pP2p/3P1Q2/q1P2N2/P1P2PPP/R3K2R w KQq - 5 15,f3g5 a3c3 f4d2 c3a1,1189,78,86,151,crushing fork middlegame short,https://lichess.org/js1IUHZ8#29,French_Defense French_Defense_Winawer_Variation
1ls7y,r1n2rk1/1p1b1ppp/p3pb2/2pp2N1/2PP3P/qP1QP3/P4PPB/1R3K1R b - - 1 17,d5c4 d3h7,562,83,98,491,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/mhdQTHUu/black#34,Queens_Pawn_Game Queens_Pawn_Game_Other_variations
1ls9R,rn4kr/2q1bp1p/p3b1pB/6N1/2p3n1/2N5/PPP1QPPP/3RR1K1 w - - 4 19,g5e6 c7h2 g1f1 h2h1,1186,82,85,50,fork mate mateIn2 middlegame short,https://lichess.org/xOeCFSkj#37,French_Defense French_Defense_Knight_Variation
1lsBc,1k6/p1p1b3/1pP5/3pP3/3Pr1q1/2P3Pp/P2N3P/R3Q2K w - - 2 35,d2e4 g4f3 h1g1 f3g2,1191,75,97,3945,endgame mate mateIn2 short,https://lichess.org/fRJuD60Y#69,
1lsFH,1r5k/R4Qp1/5p1p/4pPq1/5r2/7P/1PR3P1/7K w - - 2 31,a7b7 f4f1 h1h2 g5f4,980,77,94,3160,crushing endgame master short,https://lichess.org/V6AvtaK2#61,
1lsJJ,2k4r/pp3ppp/3r4/q1ppN3/4n3/2P1P2P/PP2QPP1/1K1R3R w - - 4 19,e5f7 e4c3 b2c3 d6b6,1827,81,93,7360,advantage middlegame queensideAttack sacrifice short,https://lichess.org/F9VgTDfJ#37,Queens_Pawn_Game Queens_Pawn_Game_Mason_Variation
1lsKo,8/p3Q2p/2p3p1/5q2/2PP4/5kP1/PP5P/6K1 w - - 1 35,e7e5 f5b1 e5e1 b1e1,880,92,91,1452,endgame mate mateIn2 queenEndgame short,https://lichess.org/8m8NKITP#69,
1lsMf,q4rk1/pb1nppbp/1p1p2p1/8/3Pn3/1P2PNP1/PB1N1PBP/1QR3K1 w - - 6 17,b1d3 e4d2 d3d2 b7f3,1033,86,94,1365,crushing discoveredAttack master middlegame short,https://lichess.org/16N876xp#33,Benoni_Defense Benoni_Defense_Old_Benoni
1lsTH,r1b1kb1r/2q2p1p/p1p1pp2/4p3/4N3/8/PPPQ1PPP/2KR1B1R b kq - 1 12,h7h5 e4f6 e8e7 d2g5,1589,76,89,2586,crushing master middlegame short,https://lichess.org/wC1ScjaJ/black#24,Sicilian_Defense Sicilian_Defense_Richter-Rauzer_Variation
1lsWS,r3r1k1/1pb3pp/p2q1n2/3p1BB1/4p3/2P4P/PP2QPP1/3RR1K1 w - - 2 21,g5f6 d6h2 g1f1 h2h1,1341,103,69,23,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/Hw8rQumx#41,
1lsWZ,r1bqk2r/ppp3pp/4p3/n3Pp2/3Pn3/P1PB4/1B3PPP/R2QK1NR w KQkq f6 0 11,f2f3 d8h4 g2g3 e4g3 h2g3 h4h1,1249,76,71,488,advantage long middlegame pin trappedPiece,https://lichess.org/fjedAQqC#21,Queens_Gambit_Declined Queens_Gambit_Declined_Queens_Knight_Variation
